department,scenario_file,sector,subsector,technology,node_type,changed_count
aluminum,aluminum_T2025_S10.xml,alumina,biomass,biomass,tracking-non-energy-input/input-cost,16
aluminum,aluminum_T2025_S10.xml,alumina,biomass,biomass CCS,tracking-non-energy-input/input-cost,16
aluminum,aluminum_T2025_S10.xml,alumina,biomass,biomass cogen,tracking-non-energy-input/input-cost,16
aluminum,aluminum_T2025_S10.xml,alumina,coal,coal CCS,tracking-non-energy-input/input-cost,16
aluminum,aluminum_T2025_S10.xml,alumina,gas,gas CCS,tracking-non-energy-input/input-cost,16
aluminum,aluminum_T2025_S10.xml,alumina,refined liquids,refined liquids CCS,tracking-non-energy-input/input-cost,16
aluminum,aluminum_T2025_S35.xml,alumina,biomass,biomass,tracking-non-energy-input/input-cost,16
aluminum,aluminum_T2025_S35.xml,alumina,biomass,biomass CCS,tracking-non-energy-input/input-cost,16
aluminum,aluminum_T2025_S35.xml,alumina,biomass,biomass cogen,tracking-non-energy-input/input-cost,16
aluminum,aluminum_T2025_S35.xml,alumina,coal,coal CCS,tracking-non-energy-input/input-cost,16
aluminum,aluminum_T2025_S35.xml,alumina,gas,gas CCS,tracking-non-energy-input/input-cost,16
aluminum,aluminum_T2025_S35.xml,alumina,refined liquids,refined liquids CCS,tracking-non-energy-input/input-cost,16
aluminum,aluminum_T2025_S60.xml,alumina,biomass,biomass,tracking-non-energy-input/input-cost,16
aluminum,aluminum_T2025_S60.xml,alumina,biomass,biomass CCS,tracking-non-energy-input/input-cost,16
aluminum,aluminum_T2025_S60.xml,alumina,biomass,biomass cogen,tracking-non-energy-input/input-cost,16
aluminum,aluminum_T2025_S60.xml,alumina,coal,coal CCS,tracking-non-energy-input/input-cost,16
aluminum,aluminum_T2025_S60.xml,alumina,gas,gas CCS,tracking-non-energy-input/input-cost,16
aluminum,aluminum_T2025_S60.xml,alumina,refined liquids,refined liquids CCS,tracking-non-energy-input/input-cost,16
aluminum,aluminum_T2035_S10.xml,alumina,biomass,biomass,tracking-non-energy-input/input-cost,14
aluminum,aluminum_T2035_S10.xml,alumina,biomass,biomass CCS,tracking-non-energy-input/input-cost,14
aluminum,aluminum_T2035_S10.xml,alumina,biomass,biomass cogen,tracking-non-energy-input/input-cost,14
aluminum,aluminum_T2035_S10.xml,alumina,coal,coal CCS,tracking-non-energy-input/input-cost,14
aluminum,aluminum_T2035_S10.xml,alumina,gas,gas CCS,tracking-non-energy-input/input-cost,14
aluminum,aluminum_T2035_S10.xml,alumina,refined liquids,refined liquids CCS,tracking-non-energy-input/input-cost,14
aluminum,aluminum_T2035_S35.xml,alumina,biomass,biomass,tracking-non-energy-input/input-cost,14
aluminum,aluminum_T2035_S35.xml,alumina,biomass,biomass CCS,tracking-non-energy-input/input-cost,14
aluminum,aluminum_T2035_S35.xml,alumina,biomass,biomass cogen,tracking-non-energy-input/input-cost,14
aluminum,aluminum_T2035_S35.xml,alumina,coal,coal CCS,tracking-non-energy-input/input-cost,14
aluminum,aluminum_T2035_S35.xml,alumina,gas,gas CCS,tracking-non-energy-input/input-cost,14
aluminum,aluminum_T2035_S35.xml,alumina,refined liquids,refined liquids CCS,tracking-non-energy-input/input-cost,14
aluminum,aluminum_T2035_S60.xml,alumina,biomass,biomass,tracking-non-energy-input/input-cost,14
aluminum,aluminum_T2035_S60.xml,alumina,biomass,biomass CCS,tracking-non-energy-input/input-cost,14
aluminum,aluminum_T2035_S60.xml,alumina,biomass,biomass cogen,tracking-non-energy-input/input-cost,14
aluminum,aluminum_T2035_S60.xml,alumina,coal,coal CCS,tracking-non-energy-input/input-cost,14
aluminum,aluminum_T2035_S60.xml,alumina,gas,gas CCS,tracking-non-energy-input/input-cost,14
aluminum,aluminum_T2035_S60.xml,alumina,refined liquids,refined liquids CCS,tracking-non-energy-input/input-cost,14
aluminum,aluminum_T2045_S10.xml,alumina,biomass,biomass,tracking-non-energy-input/input-cost,12
aluminum,aluminum_T2045_S10.xml,alumina,biomass,biomass CCS,tracking-non-energy-input/input-cost,12
aluminum,aluminum_T2045_S10.xml,alumina,biomass,biomass cogen,tracking-non-energy-input/input-cost,12
aluminum,aluminum_T2045_S10.xml,alumina,coal,coal CCS,tracking-non-energy-input/input-cost,12
aluminum,aluminum_T2045_S10.xml,alumina,gas,gas CCS,tracking-non-energy-input/input-cost,12
aluminum,aluminum_T2045_S10.xml,alumina,refined liquids,refined liquids CCS,tracking-non-energy-input/input-cost,12
aluminum,aluminum_T2045_S35.xml,alumina,biomass,biomass,tracking-non-energy-input/input-cost,12
aluminum,aluminum_T2045_S35.xml,alumina,biomass,biomass CCS,tracking-non-energy-input/input-cost,12
aluminum,aluminum_T2045_S35.xml,alumina,biomass,biomass cogen,tracking-non-energy-input/input-cost,12
