department,scenario_file,sector,subsector,technology,node_type,warning
cement,cement_T2025_S10.xml,process heat cement,biomass,biomass,tracking-non-energy-input/input-cost,low-carbon-like cost node exists but was not changed; check whether this was intentional
cement,cement_T2025_S10.xml,process heat cement,hydrogen,hydrogen,tracking-non-energy-input/input-cost,low-carbon-like cost node exists but was not changed; check whether this was intentional
cement,cement_T2025_S35.xml,process heat cement,biomass,biomass,tracking-non-energy-input/input-cost,low-carbon-like cost node exists but was not changed; check whether this was intentional
cement,cement_T2025_S35.xml,process heat cement,hydrogen,hydrogen,tracking-non-energy-input/input-cost,low-carbon-like cost node exists but was not changed; check whether this was intentional
cement,cement_T2025_S60.xml,process heat cement,biomass,biomass,tracking-non-energy-input/input-cost,low-carbon-like cost node exists but was not changed; check whether this was intentional
cement,cement_T2025_S60.xml,process heat cement,hydrogen,hydrogen,tracking-non-energy-input/input-cost,low-carbon-like cost node exists but was not changed; check whether this was intentional
cement,cement_T2035_S10.xml,process heat cement,biomass,biomass,tracking-non-energy-input/input-cost,low-carbon-like cost node exists but was not changed; check whether this was intentional
cement,cement_T2035_S10.xml,process heat cement,hydrogen,hydrogen,tracking-non-energy-input/input-cost,low-carbon-like cost node exists but was not changed; check whether this was intentional
cement,cement_T2035_S35.xml,process heat cement,biomass,biomass,tracking-non-energy-input/input-cost,low-carbon-like cost node exists but was not changed; check whether this was intentional
cement,cement_T2035_S35.xml,process heat cement,hydrogen,hydrogen,tracking-non-energy-input/input-cost,low-carbon-like cost node exists but was not changed; check whether this was intentional
cement,cement_T2035_S60.xml,process heat cement,biomass,biomass,tracking-non-energy-input/input-cost,low-carbon-like cost node exists but was not changed; check whether this was intentional
cement,cement_T2035_S60.xml,process heat cement,hydrogen,hydrogen,tracking-non-energy-input/input-cost,low-carbon-like cost node exists but was not changed; check whether this was intentional
cement,cement_T2045_S10.xml,process heat cement,biomass,biomass,tracking-non-energy-input/input-cost,low-carbon-like cost node exists but was not changed; check whether this was intentional
cement,cement_T2045_S10.xml,process heat cement,hydrogen,hydrogen,tracking-non-energy-input/input-cost,low-carbon-like cost node exists but was not changed; check whether this was intentional
cement,cement_T2045_S35.xml,process heat cement,biomass,biomass,tracking-non-energy-input/input-cost,low-carbon-like cost node exists but was not changed; check whether this was intentional
cement,cement_T2045_S35.xml,process heat cement,hydrogen,hydrogen,tracking-non-energy-input/input-cost,low-carbon-like cost node exists but was not changed; check whether this was intentional
cement,cement_T2045_S60.xml,process heat cement,biomass,biomass,tracking-non-energy-input/input-cost,low-carbon-like cost node exists but was not changed; check whether this was intentional
cement,cement_T2045_S60.xml,process heat cement,hydrogen,hydrogen,tracking-non-energy-input/input-cost,low-carbon-like cost node exists but was not changed; check whether this was intentional
iron_steel,iron_steel_T2025_S10.xml,iron and steel,BLASTFUR,BLASTFUR CCS,tracking-non-energy-input/capital-coef,low-carbon-like cost node exists but was not changed; check whether this was intentional
iron_steel,iron_steel_T2025_S10.xml,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,tracking-non-energy-input/capital-coef,low-carbon-like cost node exists but was not changed; check whether this was intentional
iron_steel,iron_steel_T2025_S10.xml,iron and steel,BLASTFUR,BLASTFUR with hydrogen,tracking-non-energy-input/capital-coef,low-carbon-like cost node exists but was not changed; check whether this was intentional
iron_steel,iron_steel_T2025_S10.xml,iron and steel,BLASTFUR,Biomass-based,tracking-non-energy-input/capital-coef,low-carbon-like cost node exists but was not changed; check whether this was intentional
iron_steel,iron_steel_T2025_S10.xml,iron and steel,EAF with DRI,EAF with DRI CCS,tracking-non-energy-input/capital-coef,low-carbon-like cost node exists but was not changed; check whether this was intentional
iron_steel,iron_steel_T2025_S10.xml,iron and steel,EAF with DRI,Hydrogen-based DRI,tracking-non-energy-input/capital-coef,low-carbon-like cost node exists but was not changed; check whether this was intentional
